"date","Pa","Rn","Tavg","Tmax","Tmin","U2","q","PET"
1979-02-01,95.15,-0.559992980211973,-32.2712425231933,-25.9500030517578,-41.2500061035156,1.35275395518726,0.000212499999179272,0.0304358602350458
1979-02-02,95.0625,3.73979521542788,-31.9227394104004,-29.0499938964844,-35.3499969482422,1.67115926905734,0.000201749997359002,0.0561908283031273
1979-02-03,95.4075,-32.4912903159857,-30.0674842834472,-25.5499938964844,-32.7500061035156,2.49383745156553,0.000247249994572485,-0.0149397356451769
1979-02-04,95.0875,-21.8878168091178,-29.9562400817871,-23.0499938964844,-37.7500061035156,1.70192095876693,0.000268249998043757,-0.0127113021932728
1979-02-05,94.93,-4.31642232835293,-29.4769882202148,-23.8499969482422,-35.4500030517578,1.48392093980279,0.000277250001090579,0.032157517366077
1979-02-06,95.4725,-21.3785467594862,-28.6464828491211,-22.2500061035156,-41.8499969482422,1.74590028374175,0.000299750008707633,-0.00938549781579516
1979-02-07,95.55,-26.2569729238749,-24.7527412414551,-20.4500030517578,-35.9500030517578,1.64469545138432,0.000426499995228369,-0.027870167729169
1979-02-08,94.57,11.4357147961855,-21.9852432250976,-13.4499877929687,-27.15,0.814143452834525,0.00063899999804562,0.0753034587041898
1979-02-09,94.5125,0.644218444824219,-29.6934989929199,-18.65,-37.5499938964844,1.0605720126068,0.000322749991028104,0.0111557784056512
1979-02-10,94.8375,-22.787296384573,-27.1937393188476,-19.65,-32.4500030517578,2.75823078073653,0.000361249993147794,-0.0122386605961948
1979-02-11,95.495,-15.9211742281914,-28.3912452697754,-24.15,-34.4500030517578,2.1607134019625,0.000290749998384854,0.0239671116451274
1979-02-12,95.775,-3.3545156121254,-26.2879890441894,-20.7500061035156,-31.2500061035156,1.67219954546774,0.00037174999670242,0.0484405815133313
1979-02-13,95.9275,-2.87006175518036,-29.5862487792969,-24.4500030517578,-36.15,1.84403458437977,0.000256250004895264,0.0511190921472193
1979-02-14,95.3,-4.95127308368683,-25.6944946289062,-20.4500030517578,-33.9500030517578,1.44835171391709,0.00038825000228826,0.0453432084515999
1979-02-15,94.7675,8.13897103071213,-24.3279899597168,-17.15,-29.7500061035156,1.10730043157897,0.000472500003525056,0.0771544360439828
1979-02-16,94.445,-7.68362045288086,-17.9144882202148,-13.4499877929687,-23.3499969482422,2.1285017722002,0.000836749983136542,0.0534629987189105
1979-02-17,93.765,1.95667946338654,-17.7697433471679,-12.3500122070312,-25.0499938964844,1.72532783526224,0.000875750003615394,0.0877100522453291
1979-02-18,94.49,-20.2173248529434,-18.9059814453125,-11.5499938964844,-22.9500030517578,1.78195089577881,0.000805749979917891,-0.0515329676687614
1979-02-19,93.7625,23.6134773492813,-15.4872344970703,-11.65,-20.5499938964844,1.9298232236034,0.00109100001282059,0.23845454528192
1979-02-20,94.5775,-15.4104961156845,-23.3609909057617,-15.15,-29.2500061035156,2.99461633496395,0.00054374999308493,-0.00542041775699362
1979-02-21,95.1225,-15.3764705657959,-19.9659866333008,-18.8499969482422,-27.7500061035156,2.98313929878442,0.000658249991829507,0.0566823620785267
1979-02-22,94.955,-1.46708428859711,-11.5399993896484,-9.94998779296873,-19.8499969482422,2.88236725656888,0.00152049999451265,0.0873709687931012
1979-02-23,95.07,6.18544256687164,-15.8224967956543,-9.44998779296873,-21.5499938964844,1.33053433470499,0.00108299999556039,0.0843403283038672
1979-02-24,94.46,24.5993758440018,-11.8614944458008,-10.0499938964844,-15.3500122070312,1.83754336094585,0.00151025003287941,0.27098954799206
1979-02-25,94.355,21.8567854166031,-15.6534980773926,-9.64999999999998,-24.4500030517578,1.06047809115066,0.0011464999843156,0.168762157335151
1979-02-26,95.2375,5.6398731470108,-12.4609970092773,-7.94998779296873,-18.0499938964844,2.79826441552915,0.00144924997584894,0.106978066224997
1979-02-27,96.3875,-7.73813796043396,-17.0585006713867,-10.15,-23.65,2.53892031127243,0.000944000013987534,0.0215326418638212
1979-02-28,96.21,5.54880583286285,-14.6727432250976,-9.7500061035156,-19.0499938964844,1.68579516388668,0.00116674997843802,0.0975733864799355
1979-03-01,96.02,26.0857858657837,-13.4417404174804,-7.14999999999998,-21.8499969482422,1.20516747859879,0.001367749995552,0.215940970376093
1979-03-02,95.8125,30.4130568504333,-7.9690002441406,-4.54999389648435,-11.4499877929687,1.76165897355721,0.00206724999588914,0.367898129699425
1979-03-03,95.0375,23.4118983745575,-8.8767379760742,-3.94998779296873,-18.0499938964844,1.73474853700241,0.00200774995028041,0.248140702933916
1979-03-04,95.27,20.5123023986816,-13.0712417602539,-6.7500061035156,-26.2500061035156,0.9945052048877,0.00135174999013543,0.208821175227538
1979-03-05,95.205,17.1461048126221,-16.9394859313965,-6.04999389648435,-26.8499969482422,1.0334307238226,0.00110475000838051,0.0836618795876112
1979-03-06,94.48,5.80700850486755,-11.1644882202148,-7.54999389648435,-17.2500061035156,1.65692493475855,0.00159799997345544,0.113905458047964
1979-03-07,94.115,20.6018555164337,-11.4507431030273,-6.35001220703123,-17.9500030517578,1.20053558284223,0.00159725002595223,0.217622939244724
1979-03-08,94.6175,28.6480567455292,-15.8612464904785,-7.35001220703123,-28.3499969482422,1.36600350773801,0.00115924997953698,0.194673311449305
1979-03-09,95.38,16.6820034980774,-15.7682479858398,-10.15,-28.65,2.20555117702722,0.0010665000154404,0.178664063406294
1979-03-10,95.3475,24.9497308731079,-18.536734008789,-12.9499877929687,-28.15,1.57062483170817,0.000847750001412351,0.184703009249081
1979-03-11,95.3275,23.186252117157,-18.3324798583984,-12.4499877929687,-24.4500030517578,1.98572991153257,0.000856250000651926,0.187062424338047
1979-03-12,95.5275,25.4742960929871,-19.2864974975586,-13.5499938964844,-24.0499938964844,1.07746415160868,0.000775250009610318,0.181587228614205
1979-03-13,95.18,33.7574145793915,-11.2824920654297,-8.54999389648435,-17.0499938964844,1.46839998338564,0.00158324997755699,0.34446691772153
1979-03-14,94.895,38.4466392993927,-9.19750823974607,-6.04999389648435,-11.65,1.94571919220356,0.00192499996046536,0.410711222284189
1979-03-15,94.83,29.5720376968384,-8.43174591064451,-5.85001220703123,-11.9499877929687,3.1573664012506,0.00206050000269897,0.340710834829354
