date,U2,Rn,Pa,q,Tair,PET
1980-01-01,1.78454267188649,-45.731174468994,94.912890625,0.000244996153924149,-27.895246887207,-0.0266874161176964
1980-01-02,1.26668170044614,-54.286819458008,94.926693359375,0.000243627782765543,-28.039213562012,-0.0673537075817837
1980-01-03,2.71151088453476,-70.011512756347,94.8062265625,0.000158082748384913,-30.719530487061,-0.0339427638068997
1980-01-04,1.74338082729695,-68.458408355713,94.336474609375,0.000116235743917059,-33.605982208252,-0.046074869408937
1980-01-05,3.65793746384756,-64.672752380372,94.10419140625,9.98655741568655e-05,-35.065603637695,0.00243857894992675
1980-01-06,3.02312304181077,-63.160217285157,93.898884765625,0.000144380534038646,-32.178297424316,-0.0165418675105812
1980-01-07,1.56131265254976,-60.222122192383,94.192591796875,0.000201010163436877,-30.176256561279,-0.0675585042822086
1980-01-08,0.499661949929746,-61.869102478028,95.189349609375,0.000221822807361605,-29.718672180176,-0.104622429265853
1980-01-09,2.60045150165814,-60.1272315979,94.678986328125,0.000232503090956016,-28.358755493164,-0.0420548690083596
1980-01-10,1.69357830731296,-64.459747314453,94.280298828125,0.000197004770598141,-29.572492980957,-0.0673227558629985
1980-01-11,1.3058106595867,-64.438457489014,94.631486328125,0.000176289497176185,-31.629061126709,-0.0764416812190941
1980-01-12,1.56531756608703,-55.393814086914,94.811955078125,0.000184863594768103,-31.871664428711,-0.0589827552080155
1980-01-13,2.31576897437429,-38.269081115723,94.209978515625,0.000404236416216008,-23.826536560059,-0.0142418009145887
1980-01-14,1.63753859135399,-60.122669219971,94.645740234375,0.000334146745444741,-25.287565612793,-0.0998408446116904
1980-01-15,2.30824199350334,-50.0728225708,95.13531640625,0.000355795426003169,-25.356436157227,-0.0608202470721259
1980-01-16,2.30580860604432,-51.586780548095,95.565197265625,0.000465396289655473,-22.168497467041,-0.0725417535239483
1980-01-17,1.04604264924103,-55.510459899902,95.802625,0.000500608875881881,-21.268160247803,-0.142563497819895
1980-01-18,1.20743439682497,-51.475982666016,95.441529296875,0.00048727409739513,-21.937010192871,-0.121067757990303
1980-01-19,1.7363894091833,-55.522724151611,94.926732421875,0.000448893188149668,-22.870836639404,-0.113768152804495
1980-01-20,2.33628101598194,-59.268695831299,94.876970703125,0.000434975925600156,-23.003000640869,-0.102047864179033
1980-01-21,1.89230048052351,-48.307331085205,94.051451171875,0.000529027514858171,-21.564218902588,-0.099093228833764
1980-01-22,1.5910747728348,-50.51953125,94.069408203125,0.000645770647679456,-19.619772338867,-0.144757304528773
1980-01-23,1.4453930907305,-57.871807098389,94.481931640625,0.00056220474652946,-20.966650390625,-0.167490830677902
1980-01-24,1.39187892078459,-47.1904296875,94.422966796875,0.000684674450894818,-19.174116516113,-0.145792673745491
1980-01-25,1.34809506390271,-36.887340545655,93.942322265625,0.00084689942013938,-17.191187286377,-0.119186464714817
1980-01-26,1.40408802026252,-35.753219604492,93.37230859375,0.000712423105142079,-19.025080108643,-0.0920323291416545
1980-01-27,3.48843747388343,-37.591011047363,94.47896875,0.000478113244753331,-21.17717590332,0.0690813526259761
1980-01-28,2.94393531376185,-49.332809448242,95.716810546875,0.000351769354892895,-23.453630828857,0.0177726394350519
1980-01-29,2.89387956135376,-52.628032684326,95.796716796875,0.000291493539407384,-24.790674591064,0.0172731409999497
1980-01-30,2.64187794115121,-47.426528930664,95.1074765625,0.000265938440861646,-25.953829193115,0.0181946944536464
1980-01-31,2.71485092654513,-46.824028015137,94.779517578125,0.000241701705817832,-26.774546051025,0.0246552445073047
1980-02-01,3.98321473795973,-33.347618103028,94.54223046875,0.000169314458617009,-27.956232452393,0.155202920406807
1980-02-02,4.02436695882873,-29.940593719482,94.583044921875,0.000160603005497251,-28.464083099365,0.160109409598602
1980-02-03,3.49775982732356,-32.662631988526,94.936,0.000155642865138361,-28.935652160645,0.122645365141122
1980-02-04,3.36675941475518,-22.639225006104,95.290185546875,0.000170119346876163,-28.862978363037,0.131883588761891
1980-02-05,3.20962026651658,-21.296684265137,95.576123046875,0.000273446701612556,-25.934145355225,0.121578495396701
1980-02-06,2.78024175794379,-27.466270446778,95.9099609375,0.000346172353602015,-23.824263000488,0.0896313654399728
1980-02-07,2.37992800664948,-30.752246856689,95.709234375,0.000529230470419861,-20.006498718262,0.0541621645494337
1980-02-08,2.11448537108651,-38.501449584961,95.224060546875,0.000595435019931756,-18.596258544922,0.00729433760766596
1980-02-09,1.40229188059853,-39.476425170898,94.949451171875,0.000682972196955234,-17.993032836914,-0.0695001595998241
1980-02-10,2.08043456153242,-45.224021911621,95.15759375,0.00047541441017529,-20.926515960693,-0.024170413065476
1980-02-11,2.28121666159323,-48.022071838378,95.422853515625,0.00036582286702469,-23.499704742432,-0.0183240739427324
1980-02-12,2.4497065080075,-42.083477020264,95.079689453125,0.000462002833955921,-21.712553405762,-0.00701953467244862
1980-02-13,2.2285546592832,-43.522987365722,95.048595703125,0.000414883055782411,-22.292826080322,-0.00544390070497383
1980-02-14,1.9306160612848,-41.813472747803,95.2120546875,0.000431483982538339,-22.237905883789,-0.021535753492462
1980-02-15,1.96924312054306,-36.68134689331,95.362658203125,0.00043334153451724,-22.008779907227,0.00772874842486307
1980-02-16,1.64495716807822,-35.045951843261,95.44730859375,0.000479990834719501,-21.155928039551,-0.00616913210616055
1980-02-17,0.812694259412264,-24.411472320556,95.192392578125,0.000630790818831883,-18.916483306885,-0.0113905038043909
1980-02-18,1.06454053229536,-29.24036026001,95.014501953125,0.000615535929682665,-18.873461151123,-0.0171422699614244
